"Date","Season","Sweek","Block","Rotation","Tillage","Cover","NitrateN"
2019-08-30,"2019-20",7,"1","R4","P","B",14.54
2019-08-30,"2019-20",7,"1","R5","P","B",18.8
2019-08-30,"2019-20",7,"2","R4","P","B",17.19
2019-08-30,"2019-20",7,"2","R5","P","B",18.07
2019-08-30,"2019-20",7,"3","R4","P","B",22.57
2019-08-30,"2019-20",7,"3","R5","P","B",24.49
2019-08-30,"2019-20",7,"4","R4","P","B",13.53
2019-08-30,"2019-20",7,"4","R5","P","B",22.31
2019-08-30,"2019-20",7,"1","R4","P","Ref",13.41
2019-08-30,"2019-20",7,"1","R5","P","Ref",11.49
2019-08-30,"2019-20",7,"2","R4","P","Ref",5.46
2019-08-30,"2019-20",7,"2","R5","P","Ref",12.33
2019-08-30,"2019-20",7,"3","R4","P","Ref",14.13
2019-08-30,"2019-20",7,"3","R5","P","Ref",14.11
2019-08-30,"2019-20",7,"4","R4","P","Ref",9.36
2019-08-30,"2019-20",7,"4","R5","P","Ref",26.82
2019-08-30,"2019-20",7,"1","R4","P","V",12.35
2019-08-30,"2019-20",7,"1","R5","P","V",21.77
2019-08-30,"2019-20",7,"2","R4","P","V",21.41
2019-08-30,"2019-20",7,"2","R5","P","V",13.48
2019-08-30,"2019-20",7,"3","R4","P","V",14.93
2019-08-30,"2019-20",7,"3","R5","P","V",14.52
2019-08-30,"2019-20",7,"4","R4","P","V",7.76
2019-08-30,"2019-20",7,"4","R5","P","V",14.66
2019-08-30,"2019-20",7,"1","R4","H","B",26.92
2019-08-30,"2019-20",7,"1","R5","H","B",12.79
2019-08-30,"2019-20",7,"2","R4","H","B",17.72
2019-08-30,"2019-20",7,"2","R5","H","B",19.59
2019-08-30,"2019-20",7,"3","R4","H","B",15.96
2019-08-30,"2019-20",7,"3","R5","H","B",4.8
2019-08-30,"2019-20",7,"4","R4","H","B",12.3
2019-08-30,"2019-20",7,"4","R5","H","B",13
2019-08-30,"2019-20",7,"1","R4","H","Ref",10.06
2019-08-30,"2019-20",7,"1","R5","H","Ref",14.26
2019-08-30,"2019-20",7,"2","R4","H","Ref",6.62
2019-08-30,"2019-20",7,"2","R5","H","Ref",23.45
2019-08-30,"2019-20",7,"3","R4","H","Ref",13.09
2019-08-30,"2019-20",7,"3","R5","H","Ref",12.21
2019-08-30,"2019-20",7,"4","R4","H","Ref",24.47
2019-08-30,"2019-20",7,"4","R5","H","Ref",24.98
2019-08-30,"2019-20",7,"1","R4","H","V",14.92
2019-08-30,"2019-20",7,"1","R5","H","V",31.23
2019-08-30,"2019-20",7,"2","R4","H","V",18.49
2019-08-30,"2019-20",7,"2","R5","H","V",13.14
2019-08-30,"2019-20",7,"3","R4","H","V",13.18
2019-08-30,"2019-20",7,"3","R5","H","V",12.06
2019-08-30,"2019-20",7,"4","R4","H","V",22.1
2019-08-30,"2019-20",7,"4","R5","H","V",12.81
2019-08-30,"2019-20",7,"1","R4","NT","B",15.41
2019-08-30,"2019-20",7,"1","R5","NT","B",16.88
2019-08-30,"2019-20",7,"2","R4","NT","B",23.19
2019-08-30,"2019-20",7,"2","R5","NT","B",17.31
2019-08-30,"2019-20",7,"3","R4","NT","B",24.41
2019-08-30,"2019-20",7,"3","R5","NT","B",6.59
2019-08-30,"2019-20",7,"4","R4","NT","B",18.18
2019-08-30,"2019-20",7,"4","R5","NT","B",17.53
2019-08-30,"2019-20",7,"1","R4","NT","Ref",10.46
2019-08-30,"2019-20",7,"1","R5","NT","Ref",17.16
2019-08-30,"2019-20",7,"2","R4","NT","Ref",5.87
2019-08-30,"2019-20",7,"2","R5","NT","Ref",13.7
2019-08-30,"2019-20",7,"3","R4","NT","Ref",13.52
2019-08-30,"2019-20",7,"3","R5","NT","Ref",13.6
2019-08-30,"2019-20",7,"4","R4","NT","Ref",10.46
2019-08-30,"2019-20",7,"4","R5","NT","Ref",15.73
2019-08-30,"2019-20",7,"1","R4","NT","V",10.84
2019-08-30,"2019-20",7,"1","R5","NT","V",9.41
2019-08-30,"2019-20",7,"2","R4","NT","V",5.34
2019-08-30,"2019-20",7,"2","R5","NT","V",14.35
2019-08-30,"2019-20",7,"3","R4","NT","V",16.89
2019-08-30,"2019-20",7,"3","R5","NT","V",11.91
2019-08-30,"2019-20",7,"4","R4","NT","V",13.09
2019-08-30,"2019-20",7,"4","R5","NT","V",15.41
2019-09-11,"2019-20",9,"1","R4","P","B",12.06
2019-09-11,"2019-20",9,"1","R5","P","B",16.24
2019-09-11,"2019-20",9,"2","R4","P","B",12.66
2019-09-11,"2019-20",9,"2","R5","P","B",13.08
2019-09-11,"2019-20",9,"3","R4","P","B",18.18
2019-09-11,"2019-20",9,"3","R5","P","B",19.65
2019-09-11,"2019-20",9,"4","R4","P","B",6.54
2019-09-11,"2019-20",9,"4","R5","P","B",17.4
2019-09-11,"2019-20",9,"1","R4","P","Ref",9.5
2019-09-11,"2019-20",9,"1","R5","P","Ref",15.35
2019-09-11,"2019-20",9,"2","R4","P","Ref",6.41
2019-09-11,"2019-20",9,"2","R5","P","Ref",14.8
2019-09-11,"2019-20",9,"3","R4","P","Ref",9.94
2019-09-11,"2019-20",9,"3","R5","P","Ref",16.19
2019-09-11,"2019-20",9,"4","R4","P","Ref",9.79
2019-09-11,"2019-20",9,"4","R5","P","Ref",29.35
2019-09-11,"2019-20",9,"1","R4","P","V",8.42
2019-09-11,"2019-20",9,"1","R5","P","V",21.01
2019-09-11,"2019-20",9,"2","R4","P","V",18.53
2019-09-11,"2019-20",9,"2","R5","P","V",15.61
2019-09-11,"2019-20",9,"3","R4","P","V",12.3
2019-09-11,"2019-20",9,"3","R5","P","V",14.3
2019-09-11,"2019-20",9,"4","R4","P","V",3.6
2019-09-11,"2019-20",9,"4","R5","P","V",16.07
2019-09-11,"2019-20",9,"1","R4","H","B",21.4
2019-09-11,"2019-20",9,"1","R5","H","B",12.11
2019-09-11,"2019-20",9,"2","R4","H","B",12.38
2019-09-11,"2019-20",9,"2","R5","H","B",17.75
2019-09-11,"2019-20",9,"3","R4","H","B",10.71
2019-09-11,"2019-20",9,"3","R5","H","B",8.52
2019-09-11,"2019-20",9,"4","R4","H","B",7.88
2019-09-11,"2019-20",9,"4","R5","H","B",12.61
2019-09-11,"2019-20",9,"1","R4","H","Ref",10.09
2019-09-11,"2019-20",9,"1","R5","H","Ref",14.3
2019-09-11,"2019-20",9,"2","R4","H","Ref",6.51
2019-09-11,"2019-20",9,"2","R5","H","Ref",22.87
2019-09-11,"2019-20",9,"3","R4","H","Ref",12.07
2019-09-11,"2019-20",9,"3","R5","H","Ref",13.59
2019-09-11,"2019-20",9,"4","R4","H","Ref",10.22
2019-09-11,"2019-20",9,"4","R5","H","Ref",24.03
2019-09-11,"2019-20",9,"1","R4","H","V",15.31
2019-09-11,"2019-20",9,"1","R5","H","V",47.13
2019-09-11,"2019-20",9,"2","R4","H","V",13.51
2019-09-11,"2019-20",9,"2","R5","H","V",11.98
2019-09-11,"2019-20",9,"3","R4","H","V",13.25
2019-09-11,"2019-20",9,"3","R5","H","V",10.42
